7.0,1301,335,22,24,worm
7.0,1037,280,20,22,worm
7.0,1052,246,29,29,worm
7.0,824,64,31,48,worm
8.0,1052,821,28,34,worm
8.0,1177,779,23,33,worm
8.0,938,702,24,25,worm
8.0,843,591,32,19,worm
8.0,946,574,21,29,worm
8.0,888,531,19,35,worm
8.0,1026,524,18,39,worm
8.0,1117,523,16,31,worm
8.0,982,470,39,14,worm
8.0,1221,442,28,28,worm
8.0,1096,430,56,18,worm
8.0,1345,321,15,38,worm
8.0,1202,319,18,33,worm
8.0,1054,260,26,21,worm
8.0,1251,209,16,37,worm
8.0,824,63,31,50,worm
9.0,489,1048,58,29,worm
9.0,920,801,49,13,worm
9.0,946,654,18,32,worm
9.0,991,641,14,38,worm
9.0,1085,614,20,28,worm
9.0,982,589,22,31,worm
9.0,1073,562,32,24,worm
9.0,1046,546,16,29,worm
9.0,961,484,11,37,worm
9.0,1160,390,19,29,worm
9.0,1262,369,18,35,worm
9.0,995,265,27,33,worm
10.0,490,1049,55,29,worm
10.0,1044,837,19,37,worm
10.0,1087,801,38,13,worm
10.0,989,739,15,32,worm
10.0,854,716,16,35,worm
10.0,892,708,25,22,worm
10.0,1080,537,23,23,worm
10.0,1395,467,39,24,worm
10.0,887,457,26,27,worm
10.0,1075,441,24,27,worm
10.0,1129,444,24,24,worm
10.0,1203,400,12,37,worm
10.0,1005,393,30,16,worm
10.0,1097,380,22,26,worm
10.0,983,380,37,14,worm
10.0,1192,306,33,15,worm
10.0,1238,286,18,33,worm
10.0,1172,281,24,20,worm
10.0,824,64,31,47,worm
11.0,490,1048,57,29,worm
11.0,994,868,28,22,worm
11.0,990,720,19,33,worm
11.0,855,613,20,36,worm
11.0,1196,597,23,21,worm
11.0,1055,561,14,39,worm
11.0,1341,498,16,40,worm
11.0,441,509,38,13,worm
11.0,1043,484,26,21,worm
11.0,1334,371,17,39,worm
11.0,1214,373,30,26,worm
11.0,984,299,19,28,worm
11.0,1014,291,19,31,worm
11.0,1076,306,22,14,worm
11.0,1240,242,26,26,worm
12.0,835,857,45,23,worm
12.0,919,701,16,27,worm
12.0,1358,539,30,58,worm
12.0,1315,546,27,31,worm
12.0,1157,552,28,21,worm
12.0,833,550,36,16,worm
12.0,886,429,24,29,worm
12.0,926,419,34,23,worm
12.0,845,358,29,29,worm
12.0,1121,354,16,33,worm
12.0,1228,366,32,14,worm
