frame,x1,y1,x2,y2,expID
1940,1263.0,453.0,1283.0,486.0,1047
1330,887.0,457.0,913.0,484.0,1047
1940,982.0,470.0,1021.0,484.0,1047
1940,1076.0,457.0,1110.0,477.0,1047
1280,1221.0,442.0,1249.0,470.0,1047
1930,1129.0,444.0,1153.0,468.0,1047
1280,1253.0,437.0,1276.0,467.0,1047
1940,958.0,425.0,970.0,463.0,1047
1440,1086.0,446.0,1120.0,462.0,1047
1940,1210.0,430.0,1229.0,462.0,1047
1940,1162.0,438.0,1181.0,459.0,1047
1940,1059.0,422.0,1071.0,459.0,1047
1290,886.0,429.0,910.0,458.0,1047
1380,987.0,438.0,1014.0,456.0,1047
1280,1353.0,419.0,1365.0,455.0,1047
1270,1322.0,429.0,1352.0,451.0,1047
1940,1096.0,430.0,1152.0,448.0,1047
1940,841.0,416.0,866.0,447.0,1047
1390,926.0,419.0,960.0,442.0,1047
1940,1279.0,405.0,1298.0,441.0,1047
1940,1203.0,400.0,1215.0,437.0,1047
1880,1159.0,406.0,1186.0,430.0,1047
1720,798.0,397.0,837.0,424.0,1047
1210,933.0,380.0,958.0,410.0,1047
1070,1334.0,371.0,1351.0,410.0,1047
1940,1005.0,393.0,1035.0,409.0,1047
1940,1097.0,380.0,1119.0,406.0,1047
1150,1240.0,376.0,1265.0,405.0,1047
1930,1262.0,369.0,1280.0,404.0,1047
1210,989.0,378.0,1013.0,403.0,1047
1940,1214.0,373.0,1244.0,399.0,1047
1940,1112.0,364.0,1132.0,392.0,1047
1840,845.0,358.0,874.0,387.0,1047
1210,911.0,353.0,930.0,386.0,1047
1940,1148.0,359.0,1169.0,381.0,1047
1940,1228.0,366.0,1260.0,380.0,1047
1800,1010.0,335.0,1031.0,373.0,1047
1940,1069.0,351.0,1099.0,372.0,1047
1930,1345.0,321.0,1360.0,359.0,1047
1880,1301.0,335.0,1323.0,359.0,1047
1940,1257.0,334.0,1286.0,358.0,1047
1260,1136.0,333.0,1179.0,355.0,1047
1940,1067.0,332.0,1091.0,354.0,1047
1050,929.0,332.0,968.0,352.0,1047
1010,1202.0,319.0,1220.0,352.0,1047
1140,1111.0,323.0,1130.0,344.0,1047
1940,888.0,308.0,902.0,343.0,1047
1170,964.0,312.0,988.0,334.0,1047
1940,1225.0,301.0,1254.0,327.0,1047
1150,984.0,299.0,1003.0,327.0,1047
1940,1116.0,310.0,1151.0,325.0,1047
1860,1014.0,291.0,1033.0,322.0,1047
1940,1192.0,306.0,1225.0,321.0,1047
1890,1076.0,306.0,1098.0,320.0,1047
1180,1038.0,287.0,1064.0,319.0,1047
1940,1172.0,281.0,1196.0,301.0,1047
1030,995.0,265.0,1022.0,298.0,1047
1610,1089.0,278.0,1124.0,296.0,1047
1940,1197.0,280.0,1229.0,293.0,1047
1940,1150.0,272.0,1176.0,291.0,1047
1940,936.0,251.0,949.0,288.0,1047
1260,1170.0,266.0,1191.0,283.0,1047
1140,1055.0,268.0,1086.0,282.0,1047
1940,1028.0,268.0,1061.0,282.0,1047
1940,1062.0,241.0,1075.0,275.0,1047
1940,1244.0,234.0,1260.0,274.0,1047
1940,1160.0,226.0,1171.0,260.0,1047
1940,1251.0,209.0,1267.0,246.0,1047
1940,1057.0,202.0,1070.0,239.0,1047
1940,1183.0,215.0,1224.0,227.0,1047
1940,967.0,205.0,1004.0,225.0,1047
False,825.0,65.0,854.0,113.0,1047
1940,1053.0,57.0,1090.0,79.0,1047
