11.0,904,642,14,39,worm
11.0,1053,589,28,28,worm
11.0,1177,585,22,17,worm
11.0,1090,572,35,15,worm
11.0,1554,541,20,37,worm
11.0,854,545,30,18,worm
11.0,975,525,25,29,worm
11.0,1006,523,21,28,worm
11.0,944,515,15,29,worm
11.0,1014,383,23,19,worm
11.0,960,369,17,21,worm
11.0,883,353,22,33,worm
11.0,939,343,20,28,worm
11.0,993,336,26,23,worm
11.0,1083,255,19,26,worm
11.0,509,23,37,64,worm
12.0,973,969,41,39,worm
12.0,941,786,28,31,worm
12.0,944,738,23,25,worm
12.0,1031,704,24,24,worm
12.0,895,669,20,20,worm
12.0,1059,640,23,23,worm
12.0,855,602,36,23,worm
12.0,991,550,13,58,worm
12.0,1107,593,36,14,worm
12.0,894,560,13,29,worm
12.0,1555,541,21,37,worm
12.0,911,539,18,30,worm
12.0,1013,528,16,26,worm
12.0,1018,498,17,19,worm
12.0,1087,497,28,16,worm
12.0,1300,436,16,40,worm
12.0,858,391,32,26,worm
12.0,995,331,14,33,worm
12.0,1005,277,35,17,worm
12.0,547,1,60,21,worm
13.0,939,825,39,24,worm
13.0,889,689,32,23,worm
13.0,1263,656,22,25,worm
13.0,1024,646,17,23,worm
13.0,1002,580,18,35,worm
13.0,930,560,22,30,worm
13.0,877,564,34,21,worm
13.0,1554,540,20,37,worm
13.0,1304,547,23,24,worm
13.0,1031,511,20,25,worm
13.0,877,516,32,19,worm
13.0,812,501,23,33,worm
13.0,962,505,16,29,worm
13.0,1102,500,32,20,worm
13.0,1000,497,33,15,worm
13.0,821,431,37,21,worm
13.0,1260,385,25,29,worm
13.0,943,367,13,36,worm
13.0,906,370,21,32,worm
13.0,1003,340,16,23,worm
13.0,1070,293,25,22,worm
13.0,1051,270,16,37,worm
14.0,1118,909,20,46,worm
14.0,867,734,28,17,worm
14.0,949,680,12,37,worm
14.0,853,667,29,27,worm
14.0,910,630,13,34,worm
14.0,935,548,16,39,worm
14.0,1554,541,19,37,worm
14.0,1083,557,39,17,worm
14.0,894,540,33,24,worm
14.0,989,512,16,35,worm
14.0,863,482,22,36,worm
14.0,1121,492,32,17,worm
14.0,1028,471,19,36,worm
14.0,930,463,14,31,worm
14.0,830,452,34,23,worm
14.0,947,379,24,24,worm
14.0,1269,378,25,24,worm
14.0,1016,346,18,40,worm
14.0,908,345,32,24,worm
14.0,1049,331,30,21,worm
15.0,1127,847,34,29,worm
15.0,816,698,37,30,worm
15.0,939,601,14,29,worm
15.0,1014,572,23,27,worm
15.0,1555,541,20,37,worm
15.0,945,541,18,36,worm
15.0,1145,515,25,29,worm
15.0,881,513,16,27,worm
15.0,992,503,22,24,worm
15.0,951,492,30,22,worm
15.0,894,453,19,31,worm
15.0,1084,432,28,29,worm
15.0,1022,424,32,16,worm
15.0,1041,388,13,28,worm
15.0,957,370,18,34,worm
15.0,1011,353,16,24,worm
15.0,938,350,43,17,worm
15.0,907,336,44,14,worm
15.0,508,23,38,66,worm
16.0,990,793,25,17,worm
16.0,911,716,25,31,worm
16.0,996,708,36,18,worm
